,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,observing,describing,accepting,acting,age,gender,age group
221,Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),3.3,3.4,2.7,2.1,57,female,late middle age
222,Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),3.8,4.6,3.1,3.4,51,male,late middle age
223,Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Very often or always true (5),4.3,3.9,4.4,4.0,37,female,early middle age
224,Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Very often or always true (5),Very often or always true (5),Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Often true (4),3.9,4.1,4.6,3.2,58,female,late middle age
225,Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Very often or always true (5),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),3.3,1.6,3.8,2.7,42,male,early middle age
226,Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),2.8,2.2,2.4,2.7,20,female,early adulthood
227,Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Often true (4),Never or very rarely true (1),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),3.6,3.0,2.9,3.4,99,not specified,late adulthood
228,Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Sometimes true (3),Often true (4),Rarely true (2),Never or very rarely true (1),Often true (4),Sometimes true (3),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Often true (4),Rarely true (2),Never or very rarely true (1),Sometimes true (3),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Sometimes true (3),3.7,2.8,1.4,2.3,64,male,late middle age
229,Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Often true (4),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Very often or always true (5),Very often or always true (5),3.3,3.1,3.6,3.6,66,male,late adulthood
230,Sometimes true (3),Often true (4),Rarely true (2),Rarely true (2),Sometimes true (3),Often true (4),Sometimes true (3),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Often true (4),Rarely true (2),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Often true (4),3.1,3.6,2.4,2.7,69,female,late adulthood
231,Very often or always true (5),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Very often or always true (5),Sometimes true (3),Rarely true (2),Sometimes true (3),Often true (4),Often true (4),Sometimes true (3),Often true (4),Often true (4),Very often or always true (5),Sometimes true (3),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Often true (4),Often true (4),Rarely true (2),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Rarely true (2),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Often true (4),Very often or always true (5),Rarely true (2),Sometimes true (3),4.2,4.1,3.0,3.1,37,male,early middle age
232,Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Often true (4),Sometimes true (3),Sometimes true (3),Often true (4),Rarely true (2),Sometimes true (3),Often true (4),Rarely true (2),Often true (4),Never or very rarely true (1),Often true (4),Rarely true (2),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Often true (4),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Rarely true (2),Rarely true (2),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Rarely true (2),Often true (4),Often true (4),Very often or always true (5),3.9,3.4,2.6,3.1,48,female,late middle age
233,Often true (4),Often true (4),Never or very rarely true (1),Rarely true (2),Often true (4),Often true (4),Never or very rarely true (1),Never or very rarely true (1),Often true (4),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Sometimes true (3),Often true (4),Very often or always true (5),Sometimes true (3),Never or very rarely true (1),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Often true (4),Rarely true (2),Very often or always true (5),Very often or always true (5),Never or very rarely true (1),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Rarely true (2),Very often or always true (5),Very often or always true (5),Rarely true (2),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),4.0,4.6,2.3,2.5,43,female,early middle age
234,Sometimes true (3),Rarely true (2),Sometimes true (3),Rarely true (2),Often true (4),Sometimes true (3),Sometimes true (3),Never or very rarely true (1),Rarely true (2),Rarely true (2),Sometimes true (3),Never or very rarely true (1),Often true (4),Rarely true (2),Very often or always true (5),Rarely true (2),Very often or always true (5),Rarely true (2),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Very often or always true (5),Rarely true (2),Rarely true (2),Rarely true (2),Often true (4),Often true (4),Rarely true (2),Rarely true (2),Very often or always true (5),Sometimes true (3),Very often or always true (5),Rarely true (2),Often true (4),Often true (4),Often true (4),4.0,2.5,2.0,3.4,32,female,early adulthood
235,Very often or always true (5),Very often or always true (5),Very often or always true (5),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Often true (4),Very often or always true (5),Often true (4),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Sometimes true (3),Sometimes true (3),Sometimes true (3),Very often or always true (5),Often true (4),Often true (4),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),Sometimes true (3),3.6,4.0,3.6,3.7,61,male,late middle age
